@id,@lat,@lon,sport,name
364978134,42.0154831,21.3976074,,
364978137,42.0151605,21.3976049,,
364978138,42.0151627,21.3983687,,
364978140,42.0154951,21.3983511,,
367266347,42.0116701,21.4049474,,
367266348,42.0116480,21.4054121,,
367266350,42.0115280,21.4054018,,
367266351,42.0115050,21.4058861,,
367266352,42.0113781,21.4058752,,
367266353,42.0113562,21.4063354,,
367266354,42.0116878,21.4063640,,
367266356,42.0117109,21.4058787,,
367266357,42.0118308,21.4058891,,
367266358,42.0118538,21.4054060,,
367266359,42.0119777,21.4054167,,
367266360,42.0119987,21.4049757,,
367667186,41.9995224,21.3909011,,
367667190,41.9994701,21.3912457,,
367667192,41.9991650,21.3911618,,
367667194,41.9992174,21.3908172,,
368004432,41.9931489,21.5243044,,
368004434,41.9924599,21.5255061,,
368004435,41.9920134,21.5262957,,
368004436,41.9918220,21.5270338,,
368004438,41.9918730,21.5278406,,
368004439,41.9921601,21.5285273,,
368004440,41.9926513,21.5289822,,
368004441,41.9932892,21.5291109,,
368004443,41.9939463,21.5288706,,
368004445,41.9942844,21.5284415,,
368004447,41.9958791,21.5240040,,
368004449,41.9960960,21.5234032,,
368004450,41.9960194,21.5228024,,
368004451,41.9958408,21.5223132,,
368004452,41.9955410,21.5220042,,
368004453,41.9951264,21.5218582,,
368004454,41.9946671,21.5220557,,
368004455,41.9942575,21.5226527,,
370403997,42.0030760,21.4310216,,
370403998,42.0026108,21.4310760,,
370403999,42.0026467,21.4316315,,
370404000,42.0031119,21.4315771,,
438701223,41.9952769,21.5090773,,
438701231,41.9951628,21.5090034,,
438701240,41.9953244,21.5085458,,
438701249,41.9954363,21.5086140,,
459794325,41.9987623,21.3905501,,
459794326,41.9985583,21.3905031,,
459794327,41.9984908,21.3910336,,
459794328,41.9986948,21.3910806,,
471115920,41.9934353,21.4656070,,
471115924,41.9933016,21.4660419,,
471115926,41.9939927,21.4664265,,
471115927,41.9941264,21.4659915,,
552763593,42.0302817,21.4414544,,
552763597,42.0296763,21.4412839,,
552763599,42.0294760,21.4425438,,
552763603,42.0300234,21.4426346,,
778380839,42.0199375,21.4162713,,
778380842,42.0191644,21.4171510,,
778380844,42.0189412,21.4171832,,
778380846,42.0187100,21.4170330,,
778380848,42.0186223,21.4167433,,
778380851,42.0186303,21.4164322,,
778380853,42.0187499,21.4161640,,
778380855,42.0193584,21.4154980,,
778380858,42.0195497,21.4154336,,
778380860,42.0198817,21.4156490,,
778380864,42.0199614,21.4159387,,
778487890,42.0197171,21.4154980,,
1091473946,42.0507175,21.3654765,,
1091473948,42.0507904,21.3664324,,
1091473950,42.0497189,21.3665595,,
1091473954,42.0496739,21.3655784,,
1515757124,41.9990768,21.4093254,,
1515757144,41.9990591,21.4094720,,
1515757157,41.9990355,21.4093164,,
1515757189,41.9987689,21.4091189,,
1515757207,41.9990518,21.4091805,,
1734335806,42.0521776,21.3623067,,
1734335807,42.0511639,21.3610638,,
1734335808,42.0506819,21.3615980,,
1734335809,42.0514776,21.3628984,,
1844645224,41.9831925,21.4799955,,
1844645225,41.9830588,21.4798840,,
1844645226,41.9832039,21.4795691,,
1844645227,41.9833376,21.4796806,,
1851617569,41.9944846,21.4166934,,
1851617586,41.9942274,21.4171065,,
1851617687,41.9942889,21.4166540,,
1851617699,41.9944288,21.4171467,,
1851694034,42.0038699,21.4263714,,
1851694068,42.0039649,21.4268878,,
1851694098,42.0049753,21.4278996,,
1851694143,42.0066914,21.4231248,,
1851694155,42.0070439,21.4235398,,
1851694188,42.0065149,21.4233963,,
1851694205,42.0068674,21.4238113,,
1851694210,42.0050677,21.4269551,,
1858303493,41.9962674,21.3954843,,
1858303679,41.9963639,21.3958722,,
1858303730,41.9962118,21.3958320,,
1858303748,41.9964155,21.3955236,,
1858337761,41.9934911,21.3983978,,
1858337794,41.9936801,21.3984457,,
1858337796,41.9936097,21.3989489,,
1858337823,41.9934207,21.3989010,,
1860951981,42.0060700,21.4120302,,
1860951990,42.0064622,21.4114083,,
1860951991,42.0061173,21.4113640,,
1860951995,42.0064148,21.4120746,,
1864556050,42.0229998,21.4358737,,
1864556060,42.0230084,21.4365903,,
1864556084,42.0238418,21.4365722,,
1864556125,42.0238332,21.4358556,,
1864640016,42.0111491,21.4382335,,
1864640026,42.0116117,21.4384200,,
1864640064,42.0112305,21.4385814,,
1864640072,42.0115303,21.4380720,,
1868631926,42.0418040,21.4129703,,
1868631929,42.0419770,21.4128225,,
1868631968,42.0417970,21.4128400,,
1868632021,42.0419840,21.4129528,,
1870263902,41.9991500,21.4023134,,
1870263904,41.9992068,21.4019358,,
1870263919,41.9993766,21.4023751,,
1870263920,41.9993975,21.4025824,,
1870263951,41.9991490,21.4023488,,
1870263959,41.9994216,21.4024237,,
1870263961,41.9991250,21.4025076,,
1870263979,41.9994334,21.4019975,,
1870289697,42.0089873,21.3934508,,
1870289698,42.0090151,21.3942095,,
1870289700,42.0090650,21.3937816,,
1870289701,42.0091179,21.3927591,,
1870289705,42.0093047,21.3935635,,
1870289706,42.0092443,21.3942215,,
1870289711,42.0092119,21.3923480,,
1870289719,42.0095343,21.3924816,,
1870289720,42.0094402,21.3928927,,
1870289724,42.0092802,21.3938621,,
1870289727,42.0091014,21.3928689,,
1870289728,42.0094188,21.3929816,,
1871822464,41.9999364,21.3907223,,
1871822467,42.0000883,21.3895477,,
1871822473,41.9995935,21.3903091,,
1871822481,41.9998746,21.3894938,,
1871822482,41.9998074,21.3899758,,
1871822485,42.0000211,21.3900298,,
1871822495,41.9999802,21.3904058,,
1871822497,41.9995498,21.3906256,,
1871916367,42.0036838,21.4095123,,
1871916374,42.0033378,21.4094220,,
1871916377,42.0033068,21.4096364,,
1871916379,42.0036529,21.4097268,,
1874949688,42.0010253,21.3938860,,
1874949694,42.0011041,21.3944005,,
1874949707,42.0009592,21.3943643,,
1874949731,42.0011240,21.3948582,,
1874949732,42.0011833,21.3944332,,
1874949738,42.0008614,21.3943520,,
1874949759,42.0008021,21.3947769,,
1874949779,42.0011702,21.3939222,,
1875061125,42.0253886,21.3763964,,
1875061165,42.0253934,21.3780614,,
1875061171,42.0250174,21.3765634,,
1875061185,42.0249793,21.3769268,,
1875061189,42.0258023,21.3774457,,
1875061213,42.0254731,21.3779782,,
1875854012,42.0027937,21.3568617,,
1875854053,42.0028236,21.3569919,,
1875854067,42.0027847,21.3565559,,
1875854073,42.0026685,21.3568683,,
1875854097,42.0029711,21.3565553,,
1875854101,42.0028136,21.3565619,,
1875854120,42.0026595,21.3565626,,
1875854128,42.0029811,21.3569853,,
1875865808,42.0022309,21.3653824,,
1875865819,42.0015372,21.3653824,,
1875865834,42.0022068,21.3639828,,
1875865836,42.0015331,21.3640043,,
1878609688,42.0036843,21.5027806,,
1878609689,42.0036887,21.5025278,,
1878609693,42.0040504,21.5027923,,
1878609699,42.0040549,21.5025394,,
1879222985,41.9413273,21.5095985,,
1879223073,41.9409137,21.5093399,,
1879223147,41.9414534,21.5092340,,
1879223155,41.9410398,21.5089754,,
1898625447,41.9919907,21.4614960,,
1898625553,41.9926472,21.4613499,,
1898625554,41.9928148,21.4627142,,
1898625573,41.9921583,21.4628603,,
2004962786,42.0037414,21.4080775,,
2004962795,42.0039418,21.4081250,,
2004962797,42.0037648,21.4078979,,
2004962798,42.0039652,21.4079453,,
2327187259,42.0510340,21.3621704,,
2327187260,42.0517901,21.3610957,,
2327187266,42.0514928,21.3608908,,
2327187269,42.0516253,21.3609323,,
2381484613,42.0521016,21.3623709,,
2381484629,42.0519236,21.3625214,,
2381484692,42.0516053,21.3627905,,
2388625311,41.9793815,21.3161454,,
2388625319,41.9793596,21.3160086,,
2388625348,41.9795889,21.3160730,,
2388625356,41.9795570,21.3159335,,
2390480378,42.0050721,21.3104486,,
